Game ID,Puzzle Date,Word,Group Name,Group Level,Starting Row,Starting Column
1,2023-06-12,SNOW,WET WEATHER,0,1,1
1,2023-06-12,LEVEL,PALINDROMES,3,1,2
1,2023-06-12,SHIFT,KEYBOARD KEYS,2,1,3
1,2023-06-12,KAYAK,PALINDROMES,3,1,4
1,2023-06-12,HEAT,NBA TEAMS,1,2,1
1,2023-06-12,TAB,KEYBOARD KEYS,2,2,2
1,2023-06-12,BUCKS,NBA TEAMS,1,2,3
1,2023-06-12,RETURN,KEYBOARD KEYS,2,2,4
1,2023-06-12,JAZZ,NBA TEAMS,1,3,1
1,2023-06-12,HAIL,WET WEATHER,0,3,2
1,2023-06-12,OPTION,KEYBOARD KEYS,2,3,3
1,2023-06-12,RAIN,WET WEATHER,0,3,4
1,2023-06-12,SLEET,WET WEATHER,0,4,1
1,2023-06-12,RACECAR,PALINDROMES,3,4,2
1,2023-06-12,MOM,PALINDROMES,3,4,3
1,2023-06-12,NETS,NBA TEAMS,1,4,4
2,2023-06-13,PUMP,FOOTWEAR,0,1,1
2,2023-06-13,FOOT,UNITS OF LENGTH,1,1,2
2,2023-06-13,TIME,MAGAZINES,2,1,3
2,2023-06-13,SEA,LETTER HOMOPHONES,3,1,4
2,2023-06-13,LEAGUE,UNITS OF LENGTH,1,2,1
2,2023-06-13,LOAFER,FOOTWEAR,0,2,2
2,2023-06-13,WHY,LETTER HOMOPHONES,3,2,3
2,2023-06-13,US,MAGAZINES,2,2,4
2,2023-06-13,BOOT,FOOTWEAR,0,3,1
2,2023-06-13,YARD,UNITS OF LENGTH,1,3,2
2,2023-06-13,PEOPLE,MAGAZINES,2,3,3
2,2023-06-13,ARE,LETTER HOMOPHONES,3,3,4
2,2023-06-13,MILE,UNITS OF LENGTH,1,4,1
2,2023-06-13,SNEAKER,FOOTWEAR,0,4,2
2,2023-06-13,QUEUE,LETTER HOMOPHONES,3,4,3
2,2023-06-13,ESSENCE,MAGAZINES,2,4,4
3,2023-06-14,AMIGO,MEMBERS OF A TRIO,3,1,1
3,2023-06-14,MOUTH,FACIAL FEATURES,0,1,2
3,2023-06-14,LAB,"DOG BREEDS, INFORMALLY",2,1,3
3,2023-06-14,STOOGE,MEMBERS OF A TRIO,3,1,4
3,2023-06-14,WOLF,SYNONYMS FOR EAT,1,2,1
3,2023-06-14,KING,MEMBERS OF A TRIO,3,2,2
