Word,Category,Difficulty
SNOW,WET WEATHER,0
LEVEL,PALINDROMES,3
SHIFT,KEYBOARD KEYS,2
KAYAK,PALINDROMES,3
HEAT,NBA TEAMS,1
TAB,KEYBOARD KEYS,2
BUCKS,NBA TEAMS,1
RETURN,KEYBOARD KEYS,2
JAZZ,NBA TEAMS,1
HAIL,WET WEATHER,0
OPTION,KEYBOARD KEYS,2
RAIN,WET WEATHER,0
SLEET,WET WEATHER,0
RACECAR,PALINDROMES,3
MOM,PALINDROMES,3
NETS,NBA TEAMS,1
PUMP,FOOTWEAR,0
FOOT,UNITS OF LENGTH,1
TIME,MAGAZINES,2
SEA,LETTER HOMOPHONES,3
LEAGUE,UNITS OF LENGTH,1
LOAFER,FOOTWEAR,0
WHY,LETTER HOMOPHONES,3
US,MAGAZINES,2
BOOT,FOOTWEAR,0
YARD,UNITS OF LENGTH,1
PEOPLE,MAGAZINES,2
ARE,LETTER HOMOPHONES,3
MILE,UNITS OF LENGTH,1
SNEAKER,FOOTWEAR,0
QUEUE,LETTER HOMOPHONES,3
ESSENCE,MAGAZINES,2
AMIGO,MEMBERS OF A TRIO,3
MOUTH,FACIAL FEATURES,0
LAB,"DOG BREEDS, INFORMALLY",2
STOOGE,MEMBERS OF A TRIO,3
WOLF,SYNONYMS FOR EAT,1
KING,MEMBERS OF A TRIO,3
NOSE,FACIAL FEATURES,0
CHOW,SYNONYMS FOR EAT,1
TENOR,MEMBERS OF A TRIO,3
POM,"DOG BREEDS, INFORMALLY",2
SCARF,SYNONYMS FOR EAT,1
EYE,FACIAL FEATURES,0
PIT,"DOG BREEDS, INFORMALLY",2
GOBBLE,SYNONYMS FOR EAT,1
PEKE,"DOG BREEDS, INFORMALLY",2
CHEEK,FACIAL FEATURES,0
DUST,CLEANING VERBS,2
CATS,MUSICALS BEGINNING WITH “C”,1
SPIDER,___ MAN SUPERHEROES,3
CAROUSEL,MUSICALS BEGINNING WITH “C”,1
PUMA,SNEAKER BRANDS,0
IRON,___ MAN SUPERHEROES,3
NIKE,SNEAKER BRANDS,0
MOP,CLEANING VERBS,2
CHICAGO,MUSICALS BEGINNING WITH “C”,1
SWEEP,CLEANING VERBS,2
SUPER,___ MAN SUPERHEROES,3
BAT,___ MAN SUPERHEROES,3
REEBOK,SNEAKER BRANDS,0
CABARET,MUSICALS BEGINNING WITH “C”,1
VACUUM,CLEANING VERBS,2
ADIDAS,SNEAKER BRANDS,0
MUSTARD,CLUE CHARACTERS,3
TARTAR,CONDIMENTS,1
PLUM,CLUE CHARACTERS,3
BLUE,SYNONYMS FOR SAD,2
GREEN,CLUE CHARACTERS,3
PRIME,STREAMING SERVICES,0
GLUM,SYNONYMS FOR SAD,2
RELISH,CONDIMENTS,1
DOWN,SYNONYMS FOR SAD,2
PEACOCK,STREAMING SERVICES,0
KETCHUP,CONDIMENTS,1
LOW,SYNONYMS FOR SAD,2
HULU,STREAMING SERVICES,0
SCARLET,CLUE CHARACTERS,3
MAYO,CONDIMENTS,1
NETFLIX,STREAMING SERVICES,0
WONDER,MEMBERS OF A SEPTET,3
FUTURE,RAPPERS,2
BABY,SHADES OF BLUE,1
GO,MONOPOLY SQUARES,0
SIN,MEMBERS OF A SEPTET,3
CHANCE,MONOPOLY SQUARES,0
ROYAL,SHADES OF BLUE,1
ICE CUBE,RAPPERS,2
MIDNIGHT,SHADES OF BLUE,1
JAIL,MONOPOLY SQUARES,0
SEA,MEMBERS OF A SEPTET,3
POWDER,SHADES OF BLUE,1
Q-TIP,RAPPERS,2
SISTER,MEMBERS OF A SEPTET,3
BOARDWALK,MONOPOLY SQUARES,0
COMMON,RAPPERS,2
JOHN,SLANG FOR TOILET,2
CUB,BABY ANIMALS,1
STAR,___ FISH THAT AREN’T FISH,3
SILVER,___ FISH THAT AREN’T FISH,3
KNEE,LEG PARTS,0
THRONE,SLANG FOR TOILET,2
JOEY,BABY ANIMALS,1
JELLY,___ FISH THAT AREN’T FISH,3
CALF,BABY ANIMALS,1
ANKLE,LEG PARTS,0
CRAY,___ FISH THAT AREN’T FISH,3
HEAD,SLANG FOR TOILET,2
SHIN,LEG PARTS,0
CAN,SLANG FOR TOILET,2
KID,BABY ANIMALS,1
THIGH,LEG PARTS,0
LOCKSMITH,THINGS WITH KEYS,3
FIRE TRUCK,THINGS THAT ARE RED,2
