video_id,url,category,status
kQXggaqbAUQ,https://www.youtube.com/watch?v=kQXggaqbAUQ&pp=ygUWNGsgbmV3cyBicm9hZGNhc3QgbGl2ZQ%3D%3D,real,failed
rnXIjl_Rzy4,https://www.youtube.com/watch?v=rnXIjl_Rzy4&pp=ygUWNGsgbmV3cyBicm9hZGNhc3QgbGl2ZQ%3D%3D,real,failed
UEy5LqeLJ2c,https://www.youtube.com/watch?v=UEy5LqeLJ2c&pp=ygUWNGsgbmV3cyBicm9hZGNhc3QgbGl2ZQ%3D%3D,real,failed
iEpJwprxDdk,https://www.youtube.com/watch?v=iEpJwprxDdk&pp=ygUWNGsgbmV3cyBicm9hZGNhc3QgbGl2ZQ%3D%3D,real,failed
-xJIQHWZQWg,https://www.youtube.com/watch?v=-xJIQHWZQWg&pp=ygUWNGsgbmV3cyBicm9hZGNhc3QgbGl2ZdIHCQnUCgGHKiGM7w%3D%3D,real,failed
ldntOcAsFiE,https://www.youtube.com/watch?v=ldntOcAsFiE&pp=ygUWNGsgbmV3cyBicm9hZGNhc3QgbGl2ZQ%3D%3D,real,completed
eXSLBxg_0Jw,https://www.youtube.com/watch?v=eXSLBxg_0Jw&pp=ygUWNGsgbmV3cyBicm9hZGNhc3QgbGl2ZQ%3D%3D,real,completed
D2CBGfS8btE,https://www.youtube.com/watch?v=D2CBGfS8btE&pp=ygUWNGsgbmV3cyBicm9hZGNhc3QgbGl2ZQ%3D%3D,real,completed
ABnvuDjicEE,https://www.youtube.com/watch?v=ABnvuDjicEE&pp=ygUWNGsgbmV3cyBicm9hZGNhc3QgbGl2ZdIHCQnUCgGHKiGM7w%3D%3D,real,failed
0Nn-sXbkKRg,https://www.youtube.com/watch?v=0Nn-sXbkKRg&pp=ygUWNGsgbmV3cyBicm9hZGNhc3QgbGl2ZQ%3D%3D,real,completed
Tmd0TGNM3U8,https://www.youtube.com/watch?v=Tmd0TGNM3U8&pp=ygUWNGsgbmV3cyBicm9hZGNhc3QgbGl2ZQ%3D%3D,real,failed
o6FfjZeVmI4,https://www.youtube.com/watch?v=o6FfjZeVmI4&pp=ygUWNGsgbmV3cyBicm9hZGNhc3QgbGl2ZQ%3D%3D,real,completed
uS4gRu1pbgQ,https://www.youtube.com/watch?v=uS4gRu1pbgQ&pp=ygUWNGsgbmV3cyBicm9hZGNhc3QgbGl2ZQ%3D%3D,real,failed
iipR5yUp36o,https://www.youtube.com/watch?v=iipR5yUp36o&pp=ygUWNGsgbmV3cyBicm9hZGNhc3QgbGl2ZQ%3D%3D,real,failed
YDvsBbKfLPA,https://www.youtube.com/watch?v=YDvsBbKfLPA&pp=ygUWNGsgbmV3cyBicm9hZGNhc3QgbGl2ZQ%3D%3D,real,failed
keUb7Uk1oYE,https://www.youtube.com/watch?v=keUb7Uk1oYE&pp=ygUgaXBob25lIDE1IHBybyBtYXggcmF3IHZpZGVvIHRlc3Q%3D,real,completed
6wnswRQO4WI,https://www.youtube.com/watch?v=6wnswRQO4WI&pp=ygUgaXBob25lIDE1IHBybyBtYXggcmF3IHZpZGVvIHRlc3Q%3D,real,completed
KlnniPaDGDM,https://www.youtube.com/watch?v=KlnniPaDGDM&pp=ygUgaXBob25lIDE1IHBybyBtYXggcmF3IHZpZGVvIHRlc3Q%3D,real,completed
z7fIA7vConc,https://www.youtube.com/watch?v=z7fIA7vConc&pp=ygUgaXBob25lIDE1IHBybyBtYXggcmF3IHZpZGVvIHRlc3TSBwkJ1AoBhyohjO8%3D,real,completed
