word1,word2,word3,word4,category,difficulty,General Category,game_id
curses,fudge,blast,crud,"""aw, heck!"" ",medium,Idioms & Slang,1
choral,jazz,rap,americana,"""best ___ performance"" grammy award ",very_hard,Fill-in-the-Blank,1
lord,please,sheesh,brother,"""give me a break!""",easy,Idioms & Slang,1
psych,chill,radical,word,'80s slang,hard,Trivia/Pop Culture,1
bumper,rubber,baby,buggy,"""rubber baby buggy bumper""",medium,Idioms & Slang,2
heavens,gracious,mercy,dear,"""my goodness!""",easy,Idioms & Slang,2
drummer,lady,ring,swan,12 days of christmas,hard,Trivia/Pop Culture,2
macho,iron,piano,rocket,"""___ man"" songs from the '70s",very_hard,Fill-in-the-Blank,2
piece of cake,no sweat,easy,child’s play,"""nothing to it!""",easy,Idioms & Slang,3
facility,gift,knack,flair,ability to do something well,hard,Idioms & Slang,3
abracadabra,centerfold,mickey,physical,#1 songs from 1982,very_hard,Trivia/Pop Culture,3
faster,go,move,hurry,"""step on it!""",medium,Idioms & Slang,3
sphere,cone,pyramid,cube,3-d shapes,medium,Noun/Concept Synonyms,4
of course,absolutely,okey-doke,sure thing,"""you bet""",easy,Idioms & Slang,4
ok,list,rod,plus,a-___,very_hard,Fill-in-the-Blank,4
goat,bogo,fomo,yolo,acronyms,hard,Noun/Concept Synonyms,4
top hat,cane,spat,monocle,accessories for mr. peanut,very_hard,Noun/Concept Synonyms,5
certain,various,a few,some,a handful of,medium,Descriptor/Adjective Synonyms,5
shame,tut tut,tsk,bad,"""you should know better!""",easy,Idioms & Slang,5
ram,pin,mia,omg,acronyms/initialisms,hard,Noun/Concept Synonyms,5
rat,creep,skunk,heel,a real jerk,medium,Noun/Concept Synonyms,6
laser,scuba,radar,spam,acronyms,very_hard,Noun/Concept Synonyms,6
martial arts,buddy,disaster,superhero,action film subgenres,hard,Members of a Set/Entities,6
byrd,beatle,monkee,beach boy,'60s band members,easy,Trivia/Pop Culture,6
maroon,strand,dump,desert,abandon,medium,Noun/Concept Synonyms,7
play,discard,draw,pass,actions in card games,hard,Noun/Concept Synonyms,7
bay,scott,carpenter,woo,action movie directors,very_hard,Trivia/Pop Culture,7
headband,mullet,spandex,neon,'80s fashion trends,easy,Trivia/Pop Culture,7
poker,origami,laundry,baking,activities that involve folding,very_hard,Noun/Concept Synonyms,8
utter,pure,sheer,total,absolute,medium,Noun/Concept Synonyms,8
midsection,trunk,torso,core,abdominal area,easy,Noun/Concept Synonyms,8
draft,trade,bench,start,actions in fantasy sports,hard,Members of a Set/Entities,8
extra,bonus,frosting,gravy,additional benefit,hard,Noun/Concept Synonyms,9
spare,excuse,save,pardon,absolve,easy,Noun/Concept Synonyms,9
handy,ready,nearby,available,accessible,medium,Descriptor/Adjective Synonyms,9
west,ant,scott,driver,adams,very_hard,Noun/Concept Synonyms,9
pull,wick,suck,draw,absorb using capillary action,easy,Noun/Concept Synonyms,10
lit,scented,wicked,waxy,adjectives for a candle,very_hard,Noun/Concept Synonyms,10
pretty,rather,real,awful,adjective intensifiers,hard,Descriptor/Adjective Synonyms,10
lead,halter,collar,harness,accessories for dog walking,medium,Noun/Concept Synonyms,10
direct,possessive,present,irregular,adjectives used in grammar,hard,Noun/Concept Synonyms,11
pick,drumstick,bow,mallet,accessories for playing an instrument,medium,Idioms & Slang,11
tie,bracelet,belt,watch,accessories,easy,Noun/Concept Synonyms,11
prime,kindle,rainforest,river,amazon ___,very_hard,Fill-in-the-Blank,11
tesla,stale,least,slate,anagrams,very_hard,Word Structure/Play,12
champion,support,back,endorse,advocate for,hard,Noun/Concept Synonyms,12
pin,button,badge,brooch,accessory with a pointy fastener,easy,Idioms & Slang,12
room,chairs,capacity,seating,accommodation,medium,Noun/Concept Synonyms,12
monte,dial,yoga,egads,anagrams of famous painters,very_hard,Word Structure/Play,13
best,worst,beat,take,achieve victory over,medium,Noun/Concept Synonyms,13
amber,porter,sour,stout,ale styles,hard,Noun/Concept Synonyms,13
log,ledger,register,record,account book,easy,Noun/Concept Synonyms,13
icing,extra,gravy,bonus,additional perk,easy,Noun/Concept Synonyms,14
groan,bulge,abut,voila,anagrams of musical instruments,very_hard,Word Structure/Play,14
chevy chase,geoffrey rush,christoph waltz,tom cruise,actors whose last names are also verbs,medium,Trivia/Pop Culture,14
power,root,exponent,radical,algebra terms,hard,Noun/Concept Synonyms,14
plaster,stick,fix,paste,adhere,easy,Noun/Concept Synonyms,15
bore,towed,hoarse,links,animal homophones,very_hard,Word Structure/Play,15
fashion,tailor,shape,mold,adapt to fit one's needs,medium,Idioms & Slang,15
reason,out,defense,excuse,alibi,hard,Noun/Concept Synonyms,15
stake,interest,share,percentage,allotment,hard,Noun/Concept Synonyms,16
extra,bonus,perk,icing,additional benefit,medium,Noun/Concept Synonyms,16
dear,phish,wail,hair,animal homophones,very_hard,Word Structure/Play,16
fresh,dewy,glowing,smooth,adjectives for nice skin,easy,Noun/Concept Synonyms,16
tang,reed,drib,flow,animals backward,very_hard,Members of a Set/Entities,17
doctor,fudge,distort,twist,alter deceptively,hard,Descriptor/Adjective Synonyms,17
cold,dark,musty,dank,adjectives for a basement,medium,Noun/Concept Synonyms,17
