word1,word2,word3,word4,category,difficulty,General Category,game_id
curses,fudge,blast,crud,"""aw, heck!"" ",medium,Idioms & Slang,
choral,jazz,rap,americana,"""best ___ performance"" grammy award ",very_hard,Fill-in-the-Blank,
lord,please,sheesh,brother,"""give me a break!""",easy,Idioms & Slang,
heavens,gracious,mercy,dear,"""my goodness!""",easy,Idioms & Slang,
piece of cake,no sweat,easy,child’s play,"""nothing to it!""",easy,Idioms & Slang,
bumper,rubber,baby,buggy,"""rubber baby buggy bumper""",medium,Idioms & Slang,
faster,go,move,hurry,"""step on it!""",medium,Idioms & Slang,
of course,absolutely,okey-doke,sure thing,"""you bet""",easy,Idioms & Slang,
shame,tut tut,tsk,bad,"""you should know better!""",easy,Idioms & Slang,
macho,iron,piano,rocket,"""___ man"" songs from the '70s",very_hard,Fill-in-the-Blank,
abracadabra,centerfold,mickey,physical,#1 songs from 1982,very_hard,Trivia/Pop Culture,
byrd,beatle,monkee,beach boy,'60s band members,easy,Trivia/Pop Culture,
headband,mullet,spandex,neon,'80s fashion trends,easy,Trivia/Pop Culture,
psych,chill,radical,word,'80s slang,hard,Trivia/Pop Culture,
drummer,lady,ring,swan,12 days of christmas,hard,Trivia/Pop Culture,
sphere,cone,pyramid,cube,3-d shapes,medium,Noun/Concept Synonyms,
certain,various,a few,some,a handful of,medium,Descriptor/Adjective Synonyms,
rat,creep,skunk,heel,a real jerk,medium,Noun/Concept Synonyms,
ok,list,rod,plus,a-___,very_hard,Fill-in-the-Blank,
maroon,strand,dump,desert,abandon,medium,Noun/Concept Synonyms,
midsection,trunk,torso,core,abdominal area,easy,Noun/Concept Synonyms,
facility,gift,knack,flair,ability to do something well,hard,Idioms & Slang,
utter,pure,sheer,total,absolute,medium,Noun/Concept Synonyms,
spare,excuse,save,pardon,absolve,easy,Noun/Concept Synonyms,
pull,wick,suck,draw,absorb using capillary action,easy,Noun/Concept Synonyms,
handy,ready,nearby,available,accessible,medium,Descriptor/Adjective Synonyms,
tie,bracelet,belt,watch,accessories,easy,Noun/Concept Synonyms,
lead,halter,collar,harness,accessories for dog walking,medium,Noun/Concept Synonyms,
top hat,cane,spat,monocle,accessories for mr. peanut,very_hard,Noun/Concept Synonyms,
pick,drumstick,bow,mallet,accessories for playing an instrument,medium,Idioms & Slang,
pin,button,badge,brooch,accessory with a pointy fastener,easy,Idioms & Slang,
room,chairs,capacity,seating,accommodation,medium,Noun/Concept Synonyms,
log,ledger,register,record,account book,easy,Noun/Concept Synonyms,
best,worst,beat,take,achieve victory over,medium,Noun/Concept Synonyms,
goat,bogo,fomo,yolo,acronyms,hard,Noun/Concept Synonyms,
laser,scuba,radar,spam,acronyms,very_hard,Noun/Concept Synonyms,
ram,pin,mia,omg,acronyms/initialisms,hard,Noun/Concept Synonyms,
martial arts,buddy,disaster,superhero,action film subgenres,hard,Members of a Set/Entities,
bay,scott,carpenter,woo,action movie directors,very_hard,Trivia/Pop Culture,
play,discard,draw,pass,actions in card games,hard,Noun/Concept Synonyms,
draft,trade,bench,start,actions in fantasy sports,hard,Members of a Set/Entities,
poker,origami,laundry,baking,activities that involve folding,very_hard,Noun/Concept Synonyms,
chevy chase,geoffrey rush,christoph waltz,tom cruise,actors whose last names are also verbs,medium,Trivia/Pop Culture,
west,ant,scott,driver,adams,very_hard,Noun/Concept Synonyms,
fashion,tailor,shape,mold,adapt to fit one's needs,medium,Idioms & Slang,
extra,bonus,frosting,gravy,additional benefit,hard,Noun/Concept Synonyms,
extra,bonus,perk,icing,additional benefit,medium,Noun/Concept Synonyms,
icing,extra,gravy,bonus,additional perk,easy,Noun/Concept Synonyms,
plaster,stick,fix,paste,adhere,easy,Noun/Concept Synonyms,
pretty,rather,real,awful,adjective intensifiers,hard,Descriptor/Adjective Synonyms,
cold,dark,musty,dank,adjectives for a basement,medium,Noun/Concept Synonyms,
lit,scented,wicked,waxy,adjectives for a candle,very_hard,Noun/Concept Synonyms,
dry,vast,sandy,hot,adjectives for a desert,medium,Noun/Concept Synonyms,
sporty,compact,sleek,fast,adjectives for a sports car,medium,Members of a Set/Entities,
toxic,frozen,fixed,liquid,adjectives for assets,medium,Noun/Concept Synonyms,
fresh,dewy,glowing,smooth,adjectives for nice skin,easy,Noun/Concept Synonyms,
direct,possessive,present,irregular,adjectives used in grammar,hard,Noun/Concept Synonyms,
billboard,sign,poster,banner,advertising format,easy,Action/Verb Synonyms,
champion,support,back,endorse,advocate for,hard,Noun/Concept Synonyms,
endorse,champion,support,back,advocate for,medium,Noun/Concept Synonyms,
touch,move,sway,reach,affect,easy,Noun/Concept Synonyms,
complex,hang-up,bugbear,demon,affliction,easy,Noun/Concept Synonyms,
rich,flush,loaded,wealthy,affluent,easy,Noun/Concept Synonyms,
voice,choice,say,vote,agency in decisionmaking,easy,Noun/Concept Synonyms,
amount,number,quantity,volume,aggregate size,medium,Noun/Concept Synonyms,
first,coach,premium,business,airline classes,medium,Noun/Concept Synonyms,
spirit,united,virgin,frontier,airlines,easy,Noun/Concept Synonyms,
frontier,spirit,southwest,alaska,airlines,medium,Noun/Concept Synonyms,
arrival,destination,gate,flight,airport board info,medium,Noun/Concept Synonyms,
carousel,food court,gate,lounge,airport features,medium,Noun/Concept Synonyms,
snooze,time set,alarm,hour,alarm clock buttons,easy,Noun/Concept Synonyms,
recess,hollow,nook,cavity,alcove,easy,Noun/Concept Synonyms,
amber,porter,sour,stout,ale styles,hard,Noun/Concept Synonyms,
flare,sos,alarm,signal,alert,easy,Noun/Concept Synonyms,
power,root,exponent,radical,algebra terms,hard,Noun/Concept Synonyms,
reason,out,defense,excuse,alibi,hard,Noun/Concept Synonyms,
champ,goat,best,legend,all-time great,medium,Noun/Concept Synonyms,
icon,great,hero,legend,all-timer,medium,Noun/Concept Synonyms,
association,guild,league,union,alliance,easy,Noun/Concept Synonyms,
stake,interest,share,percentage,allotment,hard,Noun/Concept Synonyms,
reserved,cool,distant,remote,aloof,easy,Noun/Concept Synonyms,
besides,to boot,as well,too,also,medium,Noun/Concept Synonyms,
doctor,fudge,distort,twist,alter deceptively,hard,Descriptor/Adjective Synonyms,
cluster,concentrate,group,collect,amass,medium,Noun/Concept Synonyms,
toucan,capybara,anaconda,jaguar,amazon animals,easy,Members of a Set/Entities,
prime,kindle,rainforest,river,amazon ___,very_hard,Fill-in-the-Blank,
