word1,word2,word3,word4,category,difficulty
CURSES,FUDGE,BLAST,CRUD,"""AW, HECK!""",medium
CHORAL,JAZZ,RAP,AMERICANA,"""BEST ___ PERFORMANCE"" GRAMMY AWARD",very_hard
LORD,PLEASE,SHEESH,BROTHER,"""GIVE ME A BREAK!""",easy
HEAVENS,GRACIOUS,MERCY,DEAR,"""MY GOODNESS!""",easy
PIECE OF CAKE,NO SWEAT,EASY,CHILD’S PLAY,"""NOTHING TO IT!""",easy
BUMPER,RUBBER,BABY,BUGGY,"""RUBBER BABY BUGGY BUMPER""",medium
FASTER,GO,MOVE,HURRY,"""STEP ON IT!""",medium
OF COURSE,ABSOLUTELY,OKEY-DOKE,SURE THING,"""YOU BET""",easy
SHAME,TUT TUT,TSK,BAD,"""YOU SHOULD KNOW BETTER!""",easy
MACHO,IRON,PIANO,ROCKET,"""___ MAN"" SONGS FROM THE '70S",very_hard
ABRACADABRA,CENTERFOLD,MICKEY,PHYSICAL,#1 SONGS FROM 1982,very_hard
BYRD,BEATLE,MONKEE,BEACH BOY,'60S BAND MEMBERS,easy
HEADBAND,MULLET,SPANDEX,NEON,'80S FASHION TRENDS,easy
PSYCH,CHILL,RADICAL,WORD,'80S SLANG,hard
DRUMMER,LADY,RING,SWAN,12 DAYS OF CHRISTMAS,hard
SPHERE,CONE,PYRAMID,CUBE,3-D SHAPES,medium
CERTAIN,VARIOUS,A FEW,SOME,A HANDFUL OF,medium
RAT,CREEP,SKUNK,HEEL,A REAL JERK,medium
OK,LIST,ROD,PLUS,A-___,very_hard
MAROON,STRAND,DUMP,DESERT,ABANDON,medium
MIDSECTION,TRUNK,TORSO,CORE,ABDOMINAL AREA,easy
FACILITY,GIFT,KNACK,FLAIR,ABILITY TO DO SOMETHING WELL,hard
UTTER,PURE,SHEER,TOTAL,ABSOLUTE,medium
SPARE,EXCUSE,SAVE,PARDON,ABSOLVE,easy
PULL,WICK,SUCK,DRAW,ABSORB USING CAPILLARY ACTION,easy
HANDY,READY,NEARBY,AVAILABLE,ACCESSIBLE,medium
TIE,BRACELET,BELT,WATCH,ACCESSORIES,easy
LEAD,HALTER,COLLAR,HARNESS,ACCESSORIES FOR DOG WALKING,medium
TOP HAT,CANE,SPAT,MONOCLE,ACCESSORIES FOR MR. PEANUT,very_hard
PICK,DRUMSTICK,BOW,MALLET,ACCESSORIES FOR PLAYING AN INSTRUMENT,medium
PIN,BUTTON,BADGE,BROOCH,ACCESSORY WITH A POINTY FASTENER,easy
ROOM,CHAIRS,CAPACITY,SEATING,ACCOMMODATION,medium
LOG,LEDGER,REGISTER,RECORD,ACCOUNT BOOK,easy
BEST,WORST,BEAT,TAKE,ACHIEVE VICTORY OVER,medium
GOAT,BOGO,FOMO,YOLO,ACRONYMS,hard
LASER,SCUBA,RADAR,SPAM,ACRONYMS,very_hard
RAM,PIN,MIA,OMG,ACRONYMS/INITIALISMS,hard
MARTIAL ARTS,BUDDY,DISASTER,SUPERHERO,ACTION FILM SUBGENRES,hard
BAY,SCOTT,CARPENTER,WOO,ACTION MOVIE DIRECTORS,very_hard
PLAY,DISCARD,DRAW,PASS,ACTIONS IN CARD GAMES,hard
DRAFT,TRADE,BENCH,START,ACTIONS IN FANTASY SPORTS,hard
POKER,ORIGAMI,LAUNDRY,BAKING,ACTIVITIES THAT INVOLVE FOLDING,very_hard
CHEVY CHASE,GEOFFREY RUSH,CHRISTOPH WALTZ,TOM CRUISE,ACTORS WHOSE LAST NAMES ARE ALSO VERBS,medium
WEST,ANT,SCOTT,DRIVER,ADAMS,very_hard
FASHION,TAILOR,SHAPE,MOLD,ADAPT TO FIT ONE'S NEEDS,medium
EXTRA,BONUS,FROSTING,GRAVY,ADDITIONAL BENEFIT,hard
EXTRA,BONUS,PERK,ICING,ADDITIONAL BENEFIT,medium
ICING,EXTRA,GRAVY,BONUS,ADDITIONAL PERK,easy
PLASTER,STICK,FIX,PASTE,ADHERE,easy
PRETTY,RATHER,REAL,AWFUL,ADJECTIVE INTENSIFIERS,hard
COLD,DARK,MUSTY,DANK,ADJECTIVES FOR A BASEMENT,medium
LIT,SCENTED,WICKED,WAXY,ADJECTIVES FOR A CANDLE,very_hard
DRY,VAST,SANDY,HOT,ADJECTIVES FOR A DESERT,medium
SPORTY,COMPACT,SLEEK,FAST,ADJECTIVES FOR A SPORTS CAR,medium
TOXIC,FROZEN,FIXED,LIQUID,ADJECTIVES FOR ASSETS,medium
FRESH,DEWY,GLOWING,SMOOTH,ADJECTIVES FOR NICE SKIN,easy
DIRECT,POSSESSIVE,PRESENT,IRREGULAR,ADJECTIVES USED IN GRAMMAR,hard
BILLBOARD,SIGN,POSTER,BANNER,ADVERTISING FORMAT,easy
CHAMPION,SUPPORT,BACK,ENDORSE,ADVOCATE FOR,hard
ENDORSE,CHAMPION,SUPPORT,BACK,ADVOCATE FOR,medium
TOUCH,MOVE,SWAY,REACH,AFFECT,easy
COMPLEX,HANG-UP,BUGBEAR,DEMON,AFFLICTION,easy
RICH,FLUSH,LOADED,WEALTHY,AFFLUENT,easy
VOICE,CHOICE,SAY,VOTE,AGENCY IN DECISIONMAKING,easy
AMOUNT,NUMBER,QUANTITY,VOLUME,AGGREGATE SIZE,medium
FIRST,COACH,PREMIUM,BUSINESS,AIRLINE CLASSES,medium
