word1,word2,word3,word4,category,difficulty
curses,fudge,blast,crud,"""aw, heck!""",medium
choral,jazz,rap,americana,"""best ___ performance"" grammy award",very_hard
lord,please,sheesh,brother,"""give me a break!""",easy
heavens,gracious,mercy,dear,"""my goodness!""",easy
piece of cake,no sweat,easy,child’s play,"""nothing to it!""",easy
bumper,rubber,baby,buggy,"""rubber baby buggy bumper""",medium
faster,go,move,hurry,"""step on it!""",medium
of course,absolutely,okey-doke,sure thing,"""you bet""",easy
shame,tut tut,tsk,bad,"""you should know better!""",easy
macho,iron,piano,rocket,"""___ man"" songs from the '70s",very_hard
abracadabra,centerfold,mickey,physical,#1 songs from 1982,very_hard
byrd,beatle,monkee,beach boy,'60s band members,easy
headband,mullet,spandex,neon,'80s fashion trends,easy
psych,chill,radical,word,'80s slang,hard
drummer,lady,ring,swan,12 days of christmas,hard
sphere,cone,pyramid,cube,3-d shapes,medium
certain,various,a few,some,a handful of,medium
rat,creep,skunk,heel,a real jerk,medium
ok,list,rod,plus,a-___,very_hard
maroon,strand,dump,desert,abandon,medium
midsection,trunk,torso,core,abdominal area,easy
facility,gift,knack,flair,ability to do something well,hard
utter,pure,sheer,total,absolute,medium
spare,excuse,save,pardon,absolve,easy
pull,wick,suck,draw,absorb using capillary action,easy
handy,ready,nearby,available,accessible,medium
tie,bracelet,belt,watch,accessories,easy
lead,halter,collar,harness,accessories for dog walking,medium
top hat,cane,spat,monocle,accessories for mr. peanut,very_hard
pick,drumstick,bow,mallet,accessories for playing an instrument,medium
pin,button,badge,brooch,accessory with a pointy fastener,easy
room,chairs,capacity,seating,accommodation,medium
log,ledger,register,record,account book,easy
best,worst,beat,take,achieve victory over,medium
goat,bogo,fomo,yolo,acronyms,hard
laser,scuba,radar,spam,acronyms,very_hard
ram,pin,mia,omg,acronyms/initialisms,hard
martial arts,buddy,disaster,superhero,action film subgenres,hard
bay,scott,carpenter,woo,action movie directors,very_hard
play,discard,draw,pass,actions in card games,hard
draft,trade,bench,start,actions in fantasy sports,hard
poker,origami,laundry,baking,activities that involve folding,very_hard
chevy chase,geoffrey rush,christoph waltz,tom cruise,actors whose last names are also verbs,medium
west,ant,scott,driver,adams,very_hard
fashion,tailor,shape,mold,adapt to fit one's needs,medium
extra,bonus,frosting,gravy,additional benefit,hard
extra,bonus,perk,icing,additional benefit,medium
icing,extra,gravy,bonus,additional perk,easy
plaster,stick,fix,paste,adhere,easy
pretty,rather,real,awful,adjective intensifiers,hard
cold,dark,musty,dank,adjectives for a basement,medium
lit,scented,wicked,waxy,adjectives for a candle,very_hard
dry,vast,sandy,hot,adjectives for a desert,medium
sporty,compact,sleek,fast,adjectives for a sports car,medium
toxic,frozen,fixed,liquid,adjectives for assets,medium
fresh,dewy,glowing,smooth,adjectives for nice skin,easy
direct,possessive,present,irregular,adjectives used in grammar,hard
billboard,sign,poster,banner,advertising format,easy
champion,support,back,endorse,advocate for,hard
endorse,champion,support,back,advocate for,medium
touch,move,sway,reach,affect,easy
complex,hang-up,bugbear,demon,affliction,easy
rich,flush,loaded,wealthy,affluent,easy
voice,choice,say,vote,agency in decisionmaking,easy
amount,number,quantity,volume,aggregate size,medium
first,coach,premium,business,airline classes,medium
spirit,united,virgin,frontier,airlines,easy
frontier,spirit,southwest,alaska,airlines,medium
arrival,destination,gate,flight,airport board info,medium
carousel,food court,gate,lounge,airport features,medium
snooze,time set,alarm,hour,alarm clock buttons,easy
recess,hollow,nook,cavity,alcove,easy
amber,porter,sour,stout,ale styles,hard
flare,sos,alarm,signal,alert,easy
power,root,exponent,radical,algebra terms,hard
reason,out,defense,excuse,alibi,hard
champ,goat,best,legend,all-time great,medium
icon,great,hero,legend,all-timer,medium
association,guild,league,union,alliance,easy
stake,interest,share,percentage,allotment,hard
reserved,cool,distant,remote,aloof,easy
besides,to boot,as well,too,also,medium
doctor,fudge,distort,twist,alter deceptively,hard
cluster,concentrate,group,collect,amass,medium
toucan,capybara,anaconda,jaguar,amazon animals,easy
prime,kindle,rainforest,river,amazon ___,very_hard
mood,quality,air,feeling,ambience,medium
easy,open,flexible,receptive,amenable,easy
punt,snap,sack,fumble,american football actions,hard
end,center,safety,tackle,american football positions,hard
pound,olds,frost,bishop,american poets,hard
thatch,lock,tuft,shock,amounts of hair,medium
tilt-a-whirl,merry-go-round,roller coaster,ferris wheel,amusement park rides,easy
arts,nope,pone,rats,anagrams,hard
staple,pleats,tsar,pastel,anagrams,hard
peon,petals,star,open,anagrams,hard
abel,sera,ares,ears,anagrams,medium
bela,bale,live,veil,anagrams,medium
evil,able,sear,vile,anagrams,medium
tesla,stale,least,slate,anagrams,very_hard
monte,dial,yoga,egads,anagrams of famous painters,very_hard
groan,bulge,abut,voila,anagrams of musical instruments,very_hard
noise,static,snow,fuzz,analog tv interference,hard
clay,papyrus,wax,parchment,ancient writing surfaces,easy
scales,down,shell,fur,animal coverings,hard
pride,herd,flock,pod,animal group names,easy
swarm,pack,colony,school,animal group names,easy
pride,pack,swarm,school,animal group names,hard
pride,school,herd,colony,animal groups,easy
den,hive,lair,nest,animal homes,easy
warren,lodge,den,burrow,animal homes,medium
dear,mousse,new,bare,animal homophones,hard
bore,towed,hoarse,links,animal homophones,very_hard
dear,phish,wail,hair,animal homophones,very_hard
